test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.12.0b1,nbody.py 50000,468700843,0.99,0.58,0.39,0.23,0.10,0.15,6.34,2.55,0.00,0.03,1.49,468700843 ns,861121593,1.859 GHz,2285813716,2.00,463.15 msec,0.988,883844069,1.908 GHz,37,600363803,7695181,463.22 msec,0.988,1253 C,460513618,4311854,0.94%,0,351529497,8782,8782,0,441052,116653,26.449,986217244,345931,0.04%,43862,9240,21.07%,209562,1054358842,217,0.00%,28744,198429,690.33%,0,0
2,Python 3.12.0b1,nbody.py 50000,441322559,1.00,0.44,0.43,0.26,0.09,0.16,6.45,2.66,0.00,0.03,1.53,441322559 ns,1121785833,2.544 GHz,2974194051,2.53,440.88 msec,0.999,1121715920,2.544 GHz,27,735110126,9305917,440.93 msec,0.999,1352 C,565604214,3709663,0.66%,0,419158042,8700,8700,0,198304,124259,62.661,1125294578,222106,0.02%,17336,8690,50.13%,89748,1153753550,1399,0.00%,61748,258,0.42%,0,0
3,Python 3.12.0b1,nbody.py 50000,445657977,1.00,0.43,0.46,0.24,0.11,0.25,6.58,2.59,0.00,0.06,1.54,445657977 ns,1137366459,2.549 GHz,2970827986,2.50,446.12 msec,1.001,1138625451,2.552 GHz,33,736568164,9325063,446.18 msec,1.001,1292 C,568573345,5268435,0.93%,0,421444219,8720,8720,0,648472,105805,16.316,1127470525,291229,0.03%,30018,4225,14.07%,366690,1140437489,551,0.00%,559253,173218,30.97%,0,0
4,Python 3.12.0b1,nbody.py 50000,406129928,1.00,0.42,0.52,0.26,0.11,0.13,6.66,2.71,0.00,0.04,1.60,406129928 ns,1091623177,2.699 GHz,3031395647,2.72,404.49 msec,0.996,1091727881,2.699 GHz,17,684058341,8659428,404.55 msec,0.996,1417 C,576990664,3744078,0.65%,0,424991197,8783,8783,0,353131,169211,47.917,1148668243,155816,0.01%,30435,19913,65.43%,150262,1143873621,6388,0.00%,41849,4166,9.95%,0,0
5,Python 3.12.0b1,nbody.py 50000,460090101,1.00,0.46,0.45,0.23,0.09,0.18,6.05,2.23,0.01,0.19,1.51,460090101 ns,1141217505,2.486 GHz,2914442574,2.46,459.08 msec,0.998,1140111499,2.483 GHz,44,756155159,9572405,459.15 msec,0.998,1292 C,537348180,3504398,0.65%,0,423012820,8727,8727,0,623492,230509,36.971,1145761134,536799,0.05%,68461,23725,34.65%,359187,1167567410,1267,0.00%,51173,1108,2.17%,0,0
6,Python 3.12.0b1,nbody.py 50000,478767520,1.00,0.43,0.55,0.20,0.10,0.24,5.96,2.28,0.02,0.27,1.39,478767520 ns,1111832297,2.329 GHz,2820729756,2.49,477.44 msec,0.997,1112960725,2.331 GHz,26,796954254,10089029,477.51 msec,0.997,1424 C,545454714,3943997,0.72%,0,428554588,8742,8742,0,390255,221941,56.871,1172468294,256872,0.02%,35898,17916,49.91%,218670,1156178760,739,0.00%,50111,606,1.21%,0,0
7,Python 3.12.0b1,nbody.py 50000,456731609,1.00,0.45,0.44,0.24,0.10,0.13,6.40,2.68,0.00,0.08,1.47,456731609 ns,1101391863,2.411 GHz,2948596888,2.53,456.85 msec,1.000,1101378347,2.411 GHz,31,747599804,9462126,456.91 msec,1.000,1351 C,566153113,3521038,0.62%,0,426916566,8734,8734,0,567158,54801,9.662,1166593167,641830,0.06%,68689,1992,2.90%,514217,1148486927,3360,0.00%,46108,25519,55.35%,0,0
8,Python 3.12.0b1,nbody.py 50000,443415212,1.00,0.44,0.48,0.27,0.10,0.10,6.44,2.49,0.00,0.08,1.49,443415212 ns,1126717419,2.555 GHz,3054546465,2.61,441.00 msec,0.995,1126591151,2.554 GHz,9,755337584,9561282,441.06 msec,0.995,1464 C,570057659,3584656,0.63%,0,414996887,8734,8734,0,510899,349534,68.415,1126548494,237306,0.02%,60932,36209,59.43%,315440,1108755645,491,0.00%,56762,407,0.72%,0,0
9,Python 3.12.0b1,nbody.py 50000,463420421,1.00,0.41,0.51,0.22,0.09,0.24,6.47,2.47,0.02,0.54,1.44,463420421 ns,1099174483,2.369 GHz,2832081296,2.49,463.93 msec,1.001,1103553511,2.379 GHz,50,760872423,9628868,463.99 msec,1.001,1391 C,561142316,3526987,0.63%,0,425020104,8747,8747,0,361666,91997,25.437,1159668337,207189,0.02%,22723,2555,11.24%,199301,1165838332,1525,0.00%,47880,762,1.59%,0,0
10,Python 3.12.0b1,nbody.py 50000,405436083,1.00,0.41,0.50,0.27,0.11,0.10,6.76,2.77,0.00,0.03,1.60,405436083 ns,1092781530,2.710 GHz,3009344882,2.68,403.28 msec,0.995,1092742877,2.709 GHz,10,684535134,8664792,403.33 msec,0.995,1503 C,548352614,3585724,0.65%,0,425366579,8718,8718,0,97722,12409,12.698,1148293950,172664,0.02%,7256,203,2.80%,85059,1159393595,6796,0.00%,56211,46121,82.05%,0,0
