python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,nbody.py 50000,0.568523,1086.2,1686323624.477244,0.00,0.00,703.80,22.95,3412.20,1896.90,0.72,3646.90,0.00,18.10,2498.20,970.80,314.60,1366.10,0.30,1087.30,0.00,0.00,0.01,3.00,1.83,1.16,19.66,0.00,51.01,0.00,0.00,20.94,0.79,16.50,38.82,90.00,91.80,92.55,450.00,300.00,149.62,97.65,7.03,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.49,9.88,0.05,0.50,0.00,0.00
Python 2.7.18,nbody.py 50000,0.529589,2072.9,1686323631.108554,0.00,0.00,755.50,28.14,3119.90,1896.20,0.71,3453.50,0.00,141.70,1846.30,773.00,325.60,1644.70,1.10,1033.10,0.00,0.00,0.02,2.04,1.67,1.50,23.71,0.02,42.36,0.00,0.00,22.57,1.51,19.67,28.11,90.30,91.20,83.84,400.00,300.00,178.49,96.92,15.25,14.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.24,9.58,0.08,0.52,0.00,0.00
Python 3.0.1,nbody.py 50000,0.603523,1155.5,1686323638.371615,0.00,0.00,692.60,19.83,3678.40,1896.10,0.67,4223.50,0.00,16.00,2259.40,919.20,373.40,2051.90,0.20,1412.50,0.00,0.00,0.01,2.84,1.80,1.34,26.01,0.00,47.49,0.00,0.00,22.26,0.99,23.87,33.05,94.00,95.80,77.69,315.00,300.00,137.07,96.22,20.82,19.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.44,10.68,0.11,0.53,0.00,0.00
Python 3.4.10,nbody.py 50000,0.818458,1142.2,1686323647.767224,0.00,0.00,656.60,28.54,3131.60,1897.40,0.68,5511.80,0.00,29.70,1832.20,947.20,375.50,1629.60,0.60,1077.80,0.00,0.00,0.01,2.06,1.62,1.42,21.20,0.01,44.69,0.00,0.00,19.42,1.16,18.10,32.78,94.00,95.40,90.62,375.00,300.00,166.83,97.09,8.89,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.28,9.97,0.05,0.77,0.00,0.00
Python 3.5.10,nbody.py 50000,0.543255,1132.2,1686323654.373831,0.00,0.00,629.30,21.65,3297.50,1896.00,0.70,3749.60,0.00,21.60,1550.80,880.90,372.80,1589.80,0.20,1133.60,0.00,0.00,0.01,2.56,2.31,1.59,22.13,0.01,49.23,0.00,0.00,21.50,1.15,19.01,36.69,92.60,94.00,93.10,300.00,300.00,141.54,96.88,6.46,6.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,8.74,0.04,0.44,0.00,0.00
Python 3.6.15,nbody.py 50000,0.518978,1162,1686323660.661469,0.00,0.00,645.10,20.05,3350.20,1896.30,0.71,3329.40,0.00,15.40,1422.10,895.20,427.50,1697.10,0.00,1150.20,0.00,0.00,0.01,2.48,2.13,1.91,24.45,0.00,48.53,0.00,0.00,21.75,1.49,21.10,35.60,93.50,95.20,92.26,390.00,300.00,136.20,97.05,7.30,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.89,8.44,0.05,0.46,0.00,0.00
Python 3.7.16,nbody.py 50000,0.531989,1243,1686323667.004843,0.00,0.00,627.00,19.59,3270.10,1896.50,0.75,2943.00,0.00,10.50,1717.50,834.50,377.30,1507.60,0.00,1145.00,0.00,0.00,0.00,2.87,2.04,1.58,21.62,0.00,52.11,0.00,0.00,21.97,1.13,18.43,38.88,90.20,90.80,94.60,300.00,300.00,137.34,98.45,5.06,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.76,7.28,0.03,0.46,0.00,0.00
Python 3.8.16,nbody.py 50000,0.700851,1881.5,1686323674.581333,0.00,0.00,551.80,19.17,2887.20,1896.50,0.72,3812.40,0.00,25.10,1398.90,1028.40,534.60,2100.10,1.10,1468.00,0.00,0.00,0.01,1.87,2.19,1.79,22.18,0.03,52.91,0.00,0.00,21.78,1.39,18.29,39.37,79.70,80.00,85.42,390.00,330.00,139.06,99.87,13.62,13.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,5.83,0.10,0.61,0.00,0.00
Python 3.9.16,nbody.py 50000,0.924405,2071,1686323684.514387,0.00,0.00,843.70,34.97,2478.80,1896.30,0.53,7303.70,0.00,54.90,2855.20,2192.80,934.80,3381.50,1.20,1470.80,0.00,0.00,0.01,2.88,3.28,2.37,26.00,0.01,30.64,0.00,0.00,24.87,1.65,20.81,17.70,74.40,74.70,68.35,428.30,343.30,210.76,99.71,30.22,30.22,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.61,7.51,0.32,1.19,0.00,0.00
Python 3.10.11,nbody.py 50000,1.0752,1775,1686323695.989921,0.00,0.00,1002.80,45.40,2341.80,1897.60,0.51,8585.80,0.00,52.80,3640.40,3004.80,1236.50,3163.90,1.20,1169.00,0.00,0.00,0.01,3.55,3.62,2.59,20.77,0.00,24.23,0.00,0.00,22.94,1.47,15.43,14.76,73.20,73.40,71.60,375.00,300.00,246.45,99.85,27.26,27.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.45,8.83,0.25,1.49,0.00,0.00
Python 3.11.3,nbody.py 50000,0.462388,1533.2,1686323701.275102,0.00,0.00,679.50,25.87,2637.90,1896.20,0.58,2949.10,0.00,54.50,1844.80,1366.60,497.10,1736.30,2.00,839.50,0.00,0.00,0.03,4.08,3.97,2.38,26.96,0.07,36.84,0.00,0.00,25.85,2.02,22.48,23.78,73.50,74.10,78.87,300.00,300.00,168.62,99.58,20.18,20.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.17,3.61,0.07,0.49,0.00,0.00
Python 3.12.0b1,nbody.py 50000,0.430313,1860.5,1686323706.085530,0.00,0.00,544.90,18.93,2902.70,1895.70,0.71,2192.30,0.00,13.80,1062.70,794.30,402.40,1280.50,0.30,833.00,0.00,0.00,0.01,2.00,2.24,2.07,21.75,0.00,53.13,0.00,0.00,21.29,2.35,17.73,39.70,76.10,76.20,95.29,300.00,300.00,136.19,99.70,4.34,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,3.52,0.02,0.35,0.00,0.00
Python 3.13.0a0,nbody.py 50000,0.480073,2756.7,1686323711.452211,0.00,0.00,643.20,23.35,2778.80,1891.90,0.61,2904.90,0.00,27.80,1630.20,1176.50,425.00,1722.60,1.00,927.60,0.00,0.00,0.01,3.56,3.13,2.01,25.90,0.02,41.99,0.00,0.00,25.10,2.01,22.13,27.40,74.00,75.20,72.89,300.00,300.00,157.77,99.64,25.62,25.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,3.98,0.10,0.50,0.00,0.00
